INSTNM,CITY,STABBR
Epic Bible College,Sacramento,CA
United Education Institute-Huntington Park Campus,Huntington Park,CA
Concorde Career College-San Bernardino,San Bernardino,CA
Universal College of Beauty Inc-Los Angeles 1,Los Angeles,CA
Concorde Career College-North Hollywood,North Hollywood,CA
Ventura College,Ventura,CA
Victor Valley Beauty College Inc,Victorville,CA
Victor Valley College,Victorville,CA
Berkeley City College,Berkeley,CA
Walden University,Minneapolis,MN
Waynes College of Beauty,Salinas,CA
West Hills College-Coalinga,Coalinga,CA
West Los Angeles College,Culver City,CA
West Valley College,Saratoga,CA
Carrington College-Sacramento,Sacramento,CA
Westminster Theological Seminary in California,Escondido,CA
Westmont College,Santa Barbara,CA
Whittier College,Whittier,CA
Woodbury University,Burbank,CA
The Wright Institute,Berkeley,CA
Western State College of Law at Argosy University,Fullerton,CA
Thomas Jefferson School of Law,San Diego,CA
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA
Yuba College,Marysville,CA
The Salon Professional Academy-Grand Junction,Grand Junction,CO
Adams State University,Alamosa,CO
Aims Community College,Greeley,CO
Arapahoe Community College,Littleton,CO
Bel-Rea Institute of Animal Technology,Denver,CO
Everest College-Colorado Springs,Colorado Springs,CO
University of Colorado Denver/Anschutz Medical Campus,Denver,CO
University of Colorado Colorado Springs,Colorado Springs,CO
Redstone College,Broomfield,CO
University of Colorado Boulder,Boulder,CO
Colorado Christian University,Lakewood,CO
Colorado College,Colorado Springs,CO
Concorde Career College-Aurora,Aurora,CO
The Art Institute of Colorado,Denver,CO
Colorado Mountain College,Glenwood Springs,CO
Colorado Northwestern Community College,Rangely,CO
Colorado School of Mines,Golden,CO
Colorado School of Trades,Lakewood,CO
Colorado State University-Fort Collins,Fort Collins,CO
Colorado Technical University-Colorado Springs,Colorado Springs,CO
Empire Beauty School-Lakewood,Lakewood,CO
Community College of Aurora,Aurora,CO
CollegeAmerica-Denver,Denver,CO
Delta Montrose Technical College,Delta,CO
Prince Institute-Rocky Mountains,Westminster,CO
Community College of Denver,Denver,CO
Lincoln College of Technology-Denver,Denver,CO
Denver Seminary,Littleton,CO
Westwood College-Denver North,Denver,CO
University of Denver,Denver,CO
Emily Griffith Technical College,Denver,CO
Fort Lewis College,Durango,CO
Front Range Community College,Westminster,CO
Glenwood Beauty Academy,Glenwood Springs,CO
Hair Dynamics Education Center,Fort Collins,CO
Iliff School of Theology,Denver,CO
International Salon and Spa Academy,Colorado Springs,CO
Lamar Community College,Lamar,CO
Colorado Mesa University,Grand Junction,CO
Metropolitan State University of Denver,Denver,CO
Morgan Community College,Fort  Morgan,CO
Naropa University,Boulder,CO
National American University-Colorado Springs,Colorado Springs,CO
National American University-Denver,Denver,CO
Nazarene Bible College,Colorado Springs,CO
Northeastern Junior College,Sterling,CO
University of Northern Colorado,Greeley,CO
Otero Junior College,La Junta,CO
Everest College-Thornton,Thornton,CO
Pikes Peak Community College,Colorado Springs,CO
IBMC College,Colorado Springs,CO
Pueblo Community College,Pueblo,CO
Red Rocks Community College,Lakewood,CO
Regis University,Denver,CO
Rocky Mountain College of Art and Design,Lakewood,CO
Montessori Education Center of the Rockies,Boulder,CO
Colorado State University-Pueblo,Pueblo,CO
Pickens Technical College,Aurora,CO
Intellitec College-Colorado Springs,Colorado Springs,CO
Intellitec College-Grand Junction,Grand Junction,CO
Trinidad State Junior College,Trinidad,CO
Empire Beauty School-Thornton,Thornton,CO
Western State Colorado University,Gunnison,CO
Albertus Magnus College,New Haven,CT
Paul Mitchell the School-Danbury,Danbury,CT
Asnuntuck Community College,Enfield,CT
Branford Hall Career Institute-Branford Campus,Branford,CT
Lincoln College of New England-Southington,Southington,CT
Bridgeport Hospital School of Nursing,Bridgeport,CT
University of Bridgeport,Bridgeport,CT
Central Connecticut State University,New Britain,CT
Charter Oak State College,New Britain,CT
Connecticut Center for Massage Therapy-Newington,Newington,CT
Connecticut College,New London,CT
Marinello Schools of Beauty-East Hartford,East Hartford,CT
Porter and Chester Institute of Branford,Branford,CT
University of Connecticut,Storrs,CT
Goodwin College,East Hartford,CT
Lincoln Technical Institute-East Windsor,East Windsor,CT
Eastern Connecticut State University,Willimantic,CT
Fairfield University,Fairfield,CT
Paul Mitchell the School-North Haven,North Haven,CT
Capital Community College,Hartford,CT
Rensselaer Hartford Graduate Center Inc,Hartford,CT
American Institute-West Hartford,West Hartford,CT
Hartford Seminary,Hartford,CT
University of Hartford,West Hartford,CT
Holy Apostles College and Seminary,Cromwell,CT
Housatonic Community College,Bridgeport,CT
Lyme Academy College of Fine Arts,Old Lyme,CT
Manchester Community College,Manchester,CT
Naugatuck Valley Community College,Waterbury,CT
Middlesex Community College,Middletown,CT
Mitchell College,New London,CT
Three Rivers Community College,Norwich,CT
Lincoln Technical Institute-New Britain,New Britain,CT
New England Tractor Trailer Training School of Connecticut,Somers,CT
University of New Haven,West Haven,CT
Ridley-Lowell Business & Technical Institute-New London,New London,CT
Norwalk Community College,Norwalk,CT
Northwestern Connecticut Community College,Winsted,CT
Paier College of Art Inc,Hamden,CT
Marinello Schools of Beauty-Meriden,Meriden,CT
Porter and Chester Institute of Stratford,Stratford,CT
Post University,Waterbury,CT
Quinebaug Valley Community College,Danielson,CT
Quinnipiac University,Hamden,CT
Sacred Heart University,Fairfield,CT
University of Saint Joseph,West Hartford,CT
Gateway Community College,New Haven,CT
St Vincent's College,Bridgeport,CT
Southern Connecticut State University,New Haven,CT
Stone Academy-Hamden,West Haven,CT
Tri-State College of Acupuncture,New York,NY
Trinity College,Hartford,CT
Tunxis Community College,Farmington,CT
Wesleyan University,Middletown,CT
Western Connecticut State University,Danbury,CT
Yale-New Haven Hospital Dietetic Internship,New Haven,CT
Yale University,New Haven,CT
Margaret H Rollins School of Nursing at Beebe Medical Center,Lewes,DE
Dawn Career Institute Inc,Wilmington,DE
Delaware Technical Community College-Owens,Georgetown,DE
Delaware Technical Community College-Terry,Dover,DE
Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE
Delaware State University,Dover,DE
University of Delaware,Newark,DE
Goldey-Beacom College,Wilmington,DE
Schilling-Douglas School of Hair Design LLC,Newark,DE
Wesley College,Dover,DE
Wilmington University,New Castle,DE
American University,Washington,DC
Catholic University of America,Washington,DC
University of the District of Columbia,Washington,DC
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Washington,DC
Gallaudet University,Washington,DC
George Washington University,Washington,DC
Georgetown University,Washington,DC
Howard University,Washington,DC
Medtech Institute,Falls Church,VA
Strayer University-District of Columbia,Washington,DC
National Conservatory of Dramatic Arts,Washington,DC
Trinity Washington University,Washington,DC
Wesley Theological Seminary,Washington,DC
Wyotech-Daytona,Ormond Beach,FL
The Art Institute of Fort Lauderdale,Fort Lauderdale,FL
Atlantic Technical College,Coconut Creek,FL
The Baptist College of Florida,Graceville,FL
Barry University,Miami,FL
Gooding Institute of Nurse Anesthesia,Panama City,FL
Bethune-Cookman University,Daytona Beach,FL
Lynn University,Boca Raton,FL
GUTI The Premier Beauty & Wellness Academy,Bradenton,FL
